Company,Position,GL_Job,Dept
Canadian Niagara Hotels Inc,Accts Payable,540060077-Hr No Un W,007000-Finance_Accounting
Canadian Niagara Hotels Inc,Accts Receivable,540060077-Hr No Un W,007000-Finance_Accounting
Canadian Niagara Hotels Inc,Accts Receivable,530060077-Sal,007000-Finance_Accounting
Canadian Niagara Hotels Inc,Admin Assistant,530060077-Sal,007000-Finance_Accounting
Canadian Niagara Hotels Inc,Asst Controller,530060077-Sal,007000-Finance_Accounting
Canadian Niagara Hotels Inc,Chief Financial Officer,500060075-Exec.Sal,007000-Finance_Accounting
Canadian Niagara Hotels Inc,Chief Op Officer,500060075-Exec.Sal,007000-Finance_Accounting
Canadian Niagara Hotels Inc,Controller,530060077-Sal,007000-Finance_Accounting
Canadian Niagara Hotels Inc,Corp Accountant,540060077-Hr No Un W,007000-Finance_Accounting
Canadian Niagara Hotels Inc,Director of Operations,500060075-Exec.Sal,007000-Finance_Accounting
Canadian Niagara Hotels Inc,Financial Analyist,540060077-Hr No Un W,007000-Finance_Accounting
Canadian Niagara Hotels Inc,Sr Acct Treasure,530060077-Sal,007000-Finance_Accounting
Canadian Niagara Hotels Inc,Sr. Corporate Ac,540060077-Hr No Un W,007000-Finance_Accounting
Canadian Niagara Hotels Inc,Cashroom Clerk,577060077 Cash Room Wages,007002-Cashroom
Canadian Niagara Hotels Inc,PC Technician,530060074-Sys Sal,007004 IT systems
Canadian Niagara Hotels Inc,Sr Network Admin,530060074-Sys Sal,007004 IT systems
Canadian Niagara Hotels Inc,Sys Support Tech,530060074-Sys Sal,007004 IT systems
Canadian Niagara Hotels Inc,Systems Manager,530060074-Sys Sal,007004 IT systems
Canadian Niagara Hotels Inc,Dir of Purchasing,530060073-Purchasing,007050-Purchasing
Canadian Niagara Hotels Inc,Mgr. Capital Proj.,530060073-Purchasing,007050-Purchasing
Canadian Niagara Hotels Inc,Purch Analyst,530060073-Purchasing,007050-Purchasing
Canadian Niagara Hotels Inc,Purchasing Mgr,530060073-Purchasing,007050-Purchasing
Canadian Niagara Hotels Inc,Guest Srv Oper.,544070014-Guest Serv Op,007054-Switchboard
Canadian Niagara Hotels Inc,Asst Manager,530050065-Sal,007060-Parking
Canadian Niagara Hotels Inc,Cleaner,540650065-Maint Park,007060-Parking
Canadian Niagara Hotels Inc,Elevator Operator,540445060-WP ELEV OP,007060-Parking
Canadian Niagara Hotels Inc,Maintenance Sup,540650065-Maint Park,007060-Parking
Canadian Niagara Hotels Inc,Parking Attend,557050065-Park Sec,007060-Parking
Canadian Niagara Hotels Inc,Parking Manager,530050065-Sal,007060-Parking
Canadian Niagara Hotels Inc,Parking Supervisor,545850065-Spvr Wage,007060-Parking
Canadian Niagara Hotels Inc,Manager,530860078-Sec. Sal,007068-Security
Canadian Niagara Hotels Inc,Security Officer,540060078-Hotel Secu,007068-Security
Canadian Niagara Hotels Inc,Supervisor,530860078-Sec. Sal,007068-Security
Canadian Niagara Hotels Inc,Special Proj Con,540060075-Hrly Non Union,007078-Special Projects
Canadian Niagara Hotels Inc,ADMINIST,500060075-Exec.Sal,007100-Owners
Canadian Niagara Hotels Inc,MANAGEMENT,500060075-Exec.Sal,007100-Owners
Canadian Niagara Hotels Inc,PRES,500060075-Exec.Sal,007100-Owners
Canadian Niagara Hotels Inc,VICE PRES,500060075-Exec.Sal,007100-Owners
Canadian Niagara Hotels Inc,VP SALES,500060075-Exec.Sal,007100-Owners
Canadian Niagara Hotels Inc,Asst VP of HR,530060076-HR Sal,007200-HR_Payroll
Canadian Niagara Hotels Inc,Dir. Talent Aquisitions,530060076-HR Sal,007200-HR_Payroll
Canadian Niagara Hotels Inc,HR Admin,530060076-HR Sal,007200-HR_Payroll
Canadian Niagara Hotels Inc,HR Generalist,530060076-HR Sal,007200-HR_Payroll
Canadian Niagara Hotels Inc,HR Manager,530060076-HR Sal,007200-HR_Payroll
Canadian Niagara Hotels Inc,HR_Payroll Mgr,531060079-Pyrl Sal,007200-HR_Payroll
Canadian Niagara Hotels Inc,Payroll Admin,541060079-Payroll Wa,007200-HR_Payroll
Canadian Niagara Hotels Inc,Payroll Admin,540060079-Hrly Wages Payroll,007200-HR_Payroll
Canadian Niagara Hotels Inc,Payroll Admin,531060079-Pyrl Sal,007200-HR_Payroll
Canadian Niagara Hotels Inc,Payroll Admin Senior,531060079-Pyrl Sal,007200-HR_Payroll
Canadian Niagara Hotels Inc,Admin Assistant,530010075-SH-Admin,007201-HR Employees on LTD
Canadian Niagara Hotels Inc,Sales Manager,530080087-Sal,007201-HR Employees on LTD
Canadian Niagara Hotels Inc,Account Director,530080087-Sal,007300-Sales
Canadian Niagara Hotels Inc,Admin Assistant,540080087-Hr No Un W,007300-Sales
Canadian Niagara Hotels Inc,Asst Dir of Sales,530080087-Sal,007300-Sales
Canadian Niagara Hotels Inc,Catering Sales Mgr,530080087-Sal,007300-Sales
Canadian Niagara Hotels Inc,Dir of Sales,530080087-Sal,007300-Sales
Canadian Niagara Hotels Inc,Dir.Int'l Tour&Trvl,530080087-Sal,007300-Sales
Canadian Niagara Hotels Inc,Exec.Admin.Asst,530080087-Sal,007300-Sales
Canadian Niagara Hotels Inc,Group Housing Re,540080087-Hr No Un W,007300-Sales
Canadian Niagara Hotels Inc,Group Res Agent,530080087-Sal,007300-Sales
Canadian Niagara Hotels Inc,Group Res Agent,540080087-Hr No Un W,007300-Sales
Canadian Niagara Hotels Inc,Group Sales,540080087-Hr No Un W,007300-Sales
Canadian Niagara Hotels Inc,Group Sales Co-ord,530080087-Sal,007300-Sales
Canadian Niagara Hotels Inc,Grp Housing Co Ordin,540080087-Hr No Un W,007300-Sales
Canadian Niagara Hotels Inc,Grp Ops Manager,530080087-Sal,007300-Sales
Canadian Niagara Hotels Inc,Grp Res Co-or,540080087-Hr No Un W,007300-Sales
